Transactionid,EMI Amt. (Rs.),Date,LID,Applicant Name,Repayment Type,AMOUNT RECEIVED,CF Amount,AMOUNT TO BE CF,Total Amount Due,STATUS,REMARKS
LOAN0235644314,881,2021-05-19,#REF!,#REF!,#REF!,0,,881.00,881,DELAYED,C/F to next Week
LOAN0235744314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236344314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237844314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238544314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238944314,881,2021-05-19,#REF!,#REF!,#REF!,881,881,881.00,1762,PARTIALLY RECIEVED,C/F to next Week
LOAN0239644314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0239744314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0240144314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236044314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236744314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236944314,881,2021-05-19,#REF!,#REF!,#REF!,0,,881.00,881,DELAYED,C/F to next Week
LOAN0232344313,301,2021-05-19,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0237444314,881,2021-05-19,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237644316,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0239944316,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240044316,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240244316,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0237344316,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0231044316,615,2021-05-19,#REF!,#REF!,#REF!,615,,0.00,615,RECEIVED,
LOAN0241944316,879,2021-05-19,#REF!,#REF!,#REF!,0,,879.00,879,DELAYED,C/F to next Week
LOAN0237744319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238044319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238344319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0237144319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0234744319,421,2021-05-19,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0241244319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0241544319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0241744319,582,2021-05-19,#REF!,#REF!,#REF!,582,,0.00,582,RECEIVED,
LOAN0242244319,883,2021-05-19,#REF!,#REF!,#REF!,0,,883.00,883,DELAYED,C/F to next Week
LOAN0244844320,1007,2021-05-19,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0245144320,1007,2021-05-19,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0245644320,1007,2021-05-19,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0239444319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0240444319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0240544319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238744319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0233444319,526,2021-05-19,#REF!,#REF!,#REF!,526,,0.00,526,RECEIVED,
LOAN0240844319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0242444319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0242544319,883,2021-05-19,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0233244319,421,2021-05-19,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0244144320,931,2021-05-19,#REF!,#REF!,#REF!,931,,0.00,931,RECEIVED,
LOAN0244544320,582,2021-05-19,#REF!,#REF!,#REF!,582,,0.00,582,RECEIVED,
LOAN0236544322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0238244322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0242844322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0241144322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0241844322,580,2021-05-19,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0242044322,616,2021-05-19,#REF!,#REF!,#REF!,616,,0.00,616,RECEIVED,
LOAN0242644322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0242744322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0243644322,580,2021-05-19,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0244044322,580,2021-05-19,#REF!,#REF!,#REF!,0,,580.00,580,DELAYED,C/F to next Week
LOAN0244244322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0244444322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0245344322,580,2021-05-19,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0247644322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0247744322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0245844322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0246944322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0247344322,880,2021-05-19,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0235944323,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0239144323,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0242944323,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0245944323,1004,2021-05-19,#REF!,#REF!,#REF!,"1,004",,0.00,1004,RECEIVED,
LOAN0246344323,524,2021-05-19,#REF!,#REF!,#REF!,524,,0.00,524,RECEIVED,
LOAN0246644323,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0246744323,1004,2021-05-19,#REF!,#REF!,#REF!,"1,004",,0.00,1004,RECEIVED,
LOAN0246844323,879,2021-05-19,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0247044323,703,2021-05-19,#REF!,#REF!,#REF!,703,,0.00,703,RECEIVED,
LOAN0228644306,1090,2021-05-26,#REF!,#REF!,#REF!,"1,090",,0.00,1090,RECEIVED,
LOAN0229144310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229244310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0229344310,299,2021-05-26,#REF!,#REF!,#REF!,0,,299.00,299,DELAYED,C/F to next Week
LOAN0229444310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230244310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230644310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0230744310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0230844310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231144310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231344310,419,2021-05-26,#REF!,#REF!,#REF!,0,,419.00,419,RECEIVED LATE,C/F to next Week
LOAN0231444310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0231744310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0231844310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232044310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232644310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0232744310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0233044310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0233144310,419,2021-05-26,#REF!,#REF!,#REF!,419,419,419.00,838,PARTIALLY RECIEVED,C/F to next Week
LOAN0234044310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0234344310,299,2021-05-26,#REF!,#REF!,#REF!,0,,299.00,299,DELAYED,C/F to next Week
LOAN0235144310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0235344310,419,2021-05-26,#REF!,#REF!,#REF!,419,,0.00,419,RECEIVED,
LOAN0234144310,299,2021-05-26,#REF!,#REF!,#REF!,299,,0.00,299,RECEIVED,
LOAN0229044313,421,2021-05-26,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0235244313,301,2021-05-26,#REF!,#REF!,#REF!,0,,301.00,301,DELAYED,C/F to next Week
LOAN0234844313,421,2021-05-26,#REF!,#REF!,#REF!,421,421,421.00,842,PARTIALLY RECIEVED,C/F to next Week
LOAN0234944313,301,2021-05-26,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0235644314,881,2021-05-26,#REF!,#REF!,#REF!,881,881,881.00,1762,PARTIALLY RECIEVED,C/F to next Week
LOAN0235744314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236344314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237844314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238544314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0238944314,881,2021-05-26,#REF!,#REF!,#REF!,881,881,881.00,1762,PARTIALLY RECIEVED,C/F to next Week
LOAN0239644314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0239744314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0240144314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236044314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236744314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0236944314,881,2021-05-26,#REF!,#REF!,#REF!,881,881,881.00,1762,PARTIALLY RECIEVED,C/F to next Week
LOAN0232344313,301,2021-05-26,#REF!,#REF!,#REF!,301,,0.00,301,RECEIVED,
LOAN0237444314,881,2021-05-26,#REF!,#REF!,#REF!,881,,0.00,881,RECEIVED,
LOAN0237644316,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0239944316,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240044316,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0240244316,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0237344316,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0231044316,615,2021-05-26,#REF!,#REF!,#REF!,615,,0.00,615,RECEIVED,
LOAN0241944316,879,2021-05-26,#REF!,#REF!,#REF!,879,879,879.00,1758,PARTIALLY RECIEVED,C/F to next Week
LOAN0237744319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238044319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238344319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0237144319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0234744319,421,2021-05-26,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0241244319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0241544319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0241744319,582,2021-05-26,#REF!,#REF!,#REF!,582,,0.00,582,RECEIVED,
LOAN0242244319,883,2021-05-26,#REF!,#REF!,#REF!,883,883,883.00,1766,PARTIALLY RECIEVED,C/F to next Week
LOAN0244844320,1007,2021-05-26,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0245144320,1007,2021-05-26,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0245644320,1007,2021-05-26,#REF!,#REF!,#REF!,"1,007",,0.00,1007,RECEIVED,
LOAN0239444319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0240444319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0240544319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0238744319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0233444319,526,2021-05-26,#REF!,#REF!,#REF!,526,,0.00,526,RECEIVED,
LOAN0240844319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0242444319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0242544319,883,2021-05-26,#REF!,#REF!,#REF!,883,,0.00,883,RECEIVED,
LOAN0233244319,421,2021-05-26,#REF!,#REF!,#REF!,421,,0.00,421,RECEIVED,
LOAN0244144320,931,2021-05-26,#REF!,#REF!,#REF!,931,,0.00,931,RECEIVED,
LOAN0244544320,582,2021-05-26,#REF!,#REF!,#REF!,582,,0.00,582,RECEIVED,
LOAN0236544322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0238244322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0242844322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0241144322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0241844322,580,2021-05-26,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0242044322,616,2021-05-26,#REF!,#REF!,#REF!,0,,616.00,616,DELAYED,C/F to next Week
LOAN0242644322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0242744322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0243644322,580,2021-05-26,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0244044322,580,2021-05-26,#REF!,#REF!,#REF!,0,580,"1,160.00",1160,DELAYED,C/F to next Week
LOAN0244244322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0244444322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0245344322,580,2021-05-26,#REF!,#REF!,#REF!,580,,0.00,580,RECEIVED,
LOAN0247644322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0247744322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0245844322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0246944322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0247344322,880,2021-05-26,#REF!,#REF!,#REF!,880,,0.00,880,RECEIVED,
LOAN0235944323,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0239144323,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0242944323,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
LOAN0245944323,1004,2021-05-26,#REF!,#REF!,#REF!,"1,004",,0.00,1004,RECEIVED,
LOAN0246344323,524,2021-05-26,#REF!,#REF!,#REF!,524,,0.00,524,RECEIVED,
LOAN0246644323,879,2021-05-26,#REF!,#REF!,#REF!,879,,0.00,879,RECEIVED,
